Fecha,"Pedido #",Estado,Cliente,Producto(s),"Artículos vendidos",Cupón(es),"Ingresos netos"
"2020-07-29 10:27:01",9203,ywraq-new,new,"30× Teja Zinc Galvanizada y Pintada",30,,30
"2020-07-29 10:25:47",9201,ywraq-new,new,"2× Ballestas",2,,2
"2020-07-29 08:34:26",9199,ywraq-new,new,"1× Lamina Galvanizada",1,,1
"2020-07-28 23:39:50",9197,ywraq-new,new,"2× Rieles en U Galvanizados y Accesorios",2,,2
"2020-07-28 21:54:11",9195,ywraq-new,new,"1× Teja Galvanizada Master 1000",1,,1
"2020-07-28 20:20:45",9193,ywraq-new,new,"5× Varillas Cuadradas",5,,5
"2020-07-28 19:24:02",9191,ywraq-new,new,"10× Lamina Galvanizada",10,,10
"2020-07-28 17:57:57",9189,ywraq-new,new,"1× Lamina HR (Hot Rolled)",1,,1
"2020-07-28 16:56:40",9187,ywraq-new,new,"1× Tubería Cold Rolled",1,,1
"2020-07-28 15:37:08",9185,ywraq-new,new,"1× Alambre de Púas",1,,1
"2020-07-28 15:26:59",9183,ywraq-new,new,"1× Tubería Estructural",1,,1
"2020-07-28 14:40:36",9181,ywraq-new,new,"84× Lamina Galvanizada",84,,84
"2020-07-28 14:24:44",9179,ywraq-new,new,"1× Lamina HR (Hot Rolled)",1,,1
"2020-07-28 14:19:08",9177,ywraq-new,new,"1× Lamina HR (Hot Rolled)",1,,1
"2020-07-28 13:26:45",9175,ywraq-new,new,"1× Lamina Galvanizada",1,,1
"2020-07-28 11:53:05",9173,ywraq-new,new,"32× Teja Zinc Galvanizada y Pintada",32,,32
"2020-07-28 11:48:53",9171,ywraq-new,new,"6× Malla Electrosoldada Certificada",6,,6
"2020-07-28 10:33:03",9169,ywraq-new,new,"16× Teja Zinc Galvanizada y Pintada",16,,16
"2020-07-28 10:03:27",9167,ywraq-new,new,"1× Lamina Galvanizada",1,,1
"2020-07-28 10:00:36",9165,ywraq-new,new,"1× Lamina Galvanizada",1,,1
"2020-07-28 08:44:45",9163,ywraq-new,new,"1× Lamina HR (Hot Rolled)",1,,1
"2020-07-27 22:55:10",9161,ywraq-new,new,"2× Lamina Alfajor",2,,2
"2020-07-27 22:16:47",9159,ywraq-new,new,"10× Teja Trapezoidal Pintada",10,,0
"2020-07-27 22:09:23",9157,ywraq-new,new,"1× Teja Zinc Galvanizada y Pintada",1,,1
"2020-07-27 22:02:29",9155,ywraq-new,new,"10× Malla Eslabonada",10,,10
"2020-07-27 21:21:08",9153,ywraq-new,new,"10× Teja Policarbonato",10,,10
"2020-07-27 21:14:35",9151,ywraq-new,new,"30× Teja Zinc Galvanizada y Pintada",30,,30
"2020-07-27 21:00:42",9149,ywraq-new,new,"1× Lamina HR (Hot Rolled)",1,,0
"2020-07-27 20:18:26",9147,ywraq-new,new,"150× Perfiles en C (Perlines) GR50 y A36.",150,,150
"2020-07-27 20:01:11",9145,ywraq-new,new,"1× Platina",1,,1
"2020-07-27 18:43:06",9143,ywraq-new,new,"12× Laminas Colaborantes",12,,12
"2020-07-27 18:24:43",9141,ywraq-new,new,"70× Teja Zinc Galvanizada y Pintada, 70× Teja Zinc Galvanizada y Pintada",140,,140
"2020-07-27 17:49:38",9139,ywraq-new,new,"10× Teja Zinc Galvanizada y Pintada",10,,10
"2020-07-27 14:02:21",9135,ywraq-new,new,"2× Tubería Estructural",2,,2
"2020-07-27 13:02:55",9133,ywraq-new,new,"1× Teja Zinc Galvanizada y Pintada",1,,1
"2020-07-27 12:00:32",9131,ywraq-new,new,"1× Teja Zinc Galvanizada y Pintada",1,,1
